Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
210390 DUQUE BACELAR,-,-,1,-,1,-,-,1,1
210400 ESPERANTINOPOLIS,2,2,3,3,3,-,-,2,2
210405 ESTREITO,2,2,5,3,-,3,5,-,-
210407 FEIRA NOVA DO MARANHAO,2,-,-,-,-,-,-,-,-
210408 FERNANDO FALCAO,1,8,8,1,1,2,1,2,5
210409 FORMOSA DA SERRA NEGRA,3,-,2,-,1,-,-,-,-
210410 FORTALEZA DOS NOGUEIRAS,-,-,1,-,1,1,-,-,-
210420 FORTUNA,1,1,-,-,-,1,2,-,-
210430 GODOFREDO VIANA,-,1,-,-,-,-,-,-,-
210440 GONCALVES DIAS,-,1,1,-,2,2,1,1,-
210450 GOVERNADOR ARCHER,3,1,-,-,-,-,-,-,1
210455 GOVERNADOR EDISON LOBAO,-,-,-,-,-,1,1,-,1
210460 GOVERNADOR EUGENIO BARROS,-,-,-,-,1,1,1,-,-
210462 GOVERNADOR LUIZ ROCHA,-,-,-,-,1,-,-,-,-
210465 GOVERNADOR NEWTON BELLO,1,1,1,1,-,1,-,-,-
210467 GOVERNADOR NUNES FREIRE,34,17,25,16,15,13,4,2,8
210470 GRACA ARANHA,-,-,-,1,-,-,-,-,-
210480 GRAJAU,12,8,6,17,27,24,25,21,19
210490 GUIMARAES,-,-,-,-,3,1,1,-,-
210500 HUMBERTO DE CAMPOS,5,4,6,3,1,-,3,1,3
210510 ICATU,-,2,1,1,2,1,2,-,2
210515 IGARAPE DO MEIO,4,1,1,-,1,2,1,-,1
210520 IGARAPE GRANDE,1,-,2,-,1,1,-,-,2
210530 IMPERATRIZ,278,318,278,298,297,252,216,186,168
210535 ITAIPAVA DO GRAJAU,4,-,1,3,-,1,2,1,-
210540 ITAPECURU MIRIM,9,8,9,6,7,6,8,5,8
210542 ITINGA DO MARANHAO,1,-,-,2,-,1,-,1,-
210545 JATOBA,1,-,-,-,-,-,-,-,-
210547 JENIPAPO DOS VIEIRAS,-,3,3,9,3,3,3,2,1
210550 JOAO LISBOA,2,2,-,-,1,-,-,-,-
210560 JOSELANDIA,4,1,1,1,1,1,1,1,1
210565 JUNCO DO MARANHAO,1,1,1,-,-,-,-,-,-
210570 LAGO DA PEDRA,12,10,2,6,3,1,3,-,2
210580 LAGO DO JUNCO,-,1,1,1,-,-,-,-,-
210592 LAGOA DO MATO,-,-,2,-,-,1,2,-,-
210594 LAGO DOS RODRIGUES,1,-,-,-,-,1,-,-,-
210596 LAGOA GRANDE DO MARANHAO,1,-,-,4,2,-,3,1,3
210598 LAJEADO NOVO,-,1,-,-,-,-,-,-,1
210600 LIMA CAMPOS,1,-,1,2,2,1,-,-,-
210610 LORETO,-,2,2,1,-,1,1,-,-
210620 LUIS DOMINGUES,-,-,-,-,-,1,-,1,-
210630 MAGALHAES DE ALMEIDA,2,1,2,-,1,1,-,-,1
210632 MARACACUME,1,1,-,-,-,-,-,1,-
210635 MARAJA DO SENA,-,-,-,1,-,1,-,1,1
210637 MARANHAOZINHO,-,1,1,-,-,1,-,-,-
210640 MATA ROMA,1,1,1,-,1,-,1,-,-
210650 MATINHA,3,1,1,-,4,6,-,5,1
210660 MATOES,-,2,2,1,1,-,-,2,4
210663 MATOES DO NORTE,-,-,-,1,1,-,-,-,1
210667 MILAGRES DO MARANHAO,-,-,-,-,-,-,-,1,-
210670 MIRADOR,-,1,1,-,-,1,3,-,-
210675 MIRANDA DO NORTE,-,1,1,-,-,3,4,1,2
210680 MIRINZAL,-,-,1,1,-,-,2,-,1
210690 MONCAO,3,11,12,12,7,7,6,1,1
210700 MONTES ALTOS,2,-,-,-,1,1,-,1,1
210710 MORROS,2,3,-,-,3,1,1,2,1
210720 NINA RODRIGUES,1,1,-,-,1,1,-,-,-
210735 NOVA OLINDA DO MARANHAO,3,-,2,1,-,-,-,-,-
210740 OLHO D'AGUA DAS CUNHAS,2,1,1,-,-,1,-,-,-
210745 OLINDA NOVA DO MARANHAO,2,-,3,1,1,1,1,1,-
210750 PACO DO LUMIAR,3,-,2,3,1,-,-,1,2
210760 PALMEIRANDIA,-,-,1,-,1,1,1,-,1
210770 PARAIBANO,1,-,1,4,-,-,-,-,-
210780 PARNARAMA,2,3,2,1,3,1,-,-,-
210790 PASSAGEM FRANCA,3,4,-,2,1,-,1,1,1
210800 PASTOS BONS,2,-,1,3,1,1,2,-,1
210805 PAULINO NEVES,1,2,2,3,3,4,1,-,1
210810 PAULO RAMOS,2,4,5,2,-,-,2,2,1
210820 PEDREIRAS,8,4,9,2,4,1,5,2,2
210825 PEDRO DO ROSARIO,-,1,-,-,2,-,2,-,-
210830 PENALVA,5,11,13,7,10,8,4,11,7
210845 PERITORO,1,-,1,1,2,1,-,-,1
210850 PINDARE-MIRIM,5,2,-,-,-,1,1,1,-
210860 PINHEIRO,38,37,42,27,41,39,44,27,23
210870 PIO XII,-,3,5,1,-,1,-,1,1
210880 PIRAPEMAS,4,4,6,2,4,2,4,-,3
210890 POCAO DE PEDRAS,1,2,1,1,-,-,-,2,-
210900 PORTO FRANCO,-,3,1,-,1,3,7,3,3
210905 PORTO RICO DO MARANHAO,-,-,-,-,-,1,-,-,-
210910 PRESIDENTE DUTRA,13,16,4,8,13,11,7,9,3
210920 PRESIDENTE JUSCELINO,1,3,-,-,-,-,-,-,-
210923 PRESIDENTE MEDICI,-,-,1,-,-,-,-,-,-
210927 PRESIDENTE SARNEY,-,2,-,-,-,2,1,2,3
210930 PRESIDENTE VARGAS,1,-,2,-,-,3,1,-,-
210940 PRIMEIRA CRUZ,-,2,1,3,-,-,-,-,1
210945 RAPOSA,-,-,1,1,-,-,1,3,1
210950 RIACHAO,-,5,2,2,2,-,-,1,2
210955 RIBAMAR FIQUENE,-,-,-,1,-,1,1,-,-
210960 ROSARIO,4,3,5,1,2,6,1,3,2
210975 SANTA FILOMENA DO MARANHAO,-,-,-,-,-,1,-,-,-
210980 SANTA HELENA,2,1,1,-,-,-,3,-,2
210990 SANTA INES,32,27,13,26,14,16,10,10,12
211000 SANTA LUZIA,18,12,11,4,4,8,4,6,4
211003 SANTA LUZIA DO PARUA,-,1,-,-,2,1,-,1,2
211010 SANTA QUITERIA DO MARANHAO,1,3,1,3,3,1,-,1,-
211020 SANTA RITA,-,2,4,4,3,5,1,2,1
211027 SANTO AMARO DO MARANHAO,1,-,1,1,-,1,-,-,-
211030 SANTO ANTONIO DOS LOPES,-,1,-,-,-,-,-,-,-
211040 SAO BENEDITO DO RIO PRETO,1,2,3,-,1,3,4,1,-
211050 SAO BENTO,5,1,1,3,5,2,4,4,3
211060 SAO BERNARDO,4,1,4,1,1,-,3,2,-
211065 SAO DOMINGOS DO AZEITAO,2,1,-,-,-,-,1,1,-
211070 SAO DOMINGOS DO MARANHAO,2,4,1,-,-,-,1,1,1
211085 SAO FRANCISCO DO BREJAO,-,1,-,-,-,-,-,-,1
211090 SAO FRANCISCO DO MARANHAO,1,-,1,-,-,-,1,-,-
211100 SAO JOAO BATISTA,5,2,1,-,1,1,1,2,-
211102 SAO JOAO DO CARU,3,2,2,-,-,2,4,-,-
211105 SAO JOAO DO PARAISO,1,-,-,-,-,1,-,1,-
211107 SAO JOAO DO SOTER,2,-,-,2,-,-,1,1,-
211110 SAO JOAO DOS PATOS,4,4,4,6,2,3,1,1,1
211120 SAO JOSE DE RIBAMAR,15,17,11,5,12,2,10,5,6
211130 SAO LUIS,633,625,690,666,757,714,683,636,671
211140 SAO LUIS GONZAGA DO MARANHAO,-,4,4,-,-,1,-,-,-
211150 SAO MATEUS DO MARANHAO,3,2,2,2,-,2,1,-,1
211153 SAO PEDRO DA AGUA BRANCA,1,-,1,-,-,-,-,-,-
211157 SAO PEDRO DOS CRENTES,1,-,-,-,1,-,-,-,-
211160 SAO RAIMUNDO DAS MANGABEIRAS,3,-,2,2,1,2,2,1,1
211163 SAO RAIMUNDO DO DOCA BEZERRA,1,-,2,-,1,-,-,-,-
211167 SAO ROBERTO,-,1,1,-,1,-,-,1,-
211170 SAO VICENTE FERRER,5,2,1,1,1,1,1,1,1
211172 SATUBINHA,2,-,-,-,-,2,-,1,-
211174 SENADOR ALEXANDRE COSTA,2,-,-,-,1,2,1,-,-
211176 SENADOR LA ROCQUE,-,-,-,-,1,-,-,1,1
211178 SERRANO DO MARANHAO,-,-,1,2,-,-,-,-,-
211180 SITIO NOVO,1,-,-,1,2,-,2,1,1
211190 SUCUPIRA DO NORTE,-,2,-,-,-,-,-,1,-
211195 SUCUPIRA DO RIACHAO,1,1,-,-,-,-,-,-,-
211200 TASSO FRAGOSO,1,-,-,1,1,-,-,1,-
211210 TIMBIRAS,5,5,-,8,8,2,2,4,-
211220 TIMON,15,12,25,16,13,13,29,21,27
211223 TRIZIDELA DO VALE,-,-,-,-,1,1,-,1,-
211227 TUFILANDIA,-,-,-,1,-,-,-,-,-
211230 TUNTUM,4,3,3,2,4,2,2,3,1
211240 TURIACU,3,4,2,1,4,2,-,-,-
211245 TURILANDIA,-,-,-,-,-,1,-,1,-
211250 TUTOIA,6,4,3,3,3,4,7,-,5
211260 URBANO SANTOS,6,1,1,2,3,2,1,2,1
211270 VARGEM GRANDE,4,10,5,4,6,5,8,3,4
211280 VIANA,6,4,6,2,6,5,7,5,5
211285 VILA NOVA DOS MARTIRIOS,-,-,-,-,-,-,1,-,-
211290 VITORIA DO MEARIM,7,6,4,1,3,3,2,4,1
211300 VITORINO FREIRE,1,2,2,-,4,2,5,-,-
211400 ZE DOCA,13,5,11,9,12,9,11,11,6
 MUNICIPIO IGNORADO - PI,-,-,-,-,1,-,-,1,-
220005 ACAUA,-,1,2,-,-,1,1,-,-
220010 AGRICOLANDIA,-,-,-,1,-,-,-,-,-
220020 AGUA BRANCA,2,1,-,-,1,1,1,1,1
220027 ALEGRETE DO PIAUI,-,-,-,-,-,-,-,-,1
220030 ALTO LONGA,-,-,-,-,-,-,-,-,1
220040 ALTOS,1,2,1,1,-,2,4,4,2
220045 ALVORADA DO GURGUEIA,-,-,-,2,-,2,1,-,-
220050 AMARANTE,-,-,2,-,2,2,-,-,1
220060 ANGICAL DO PIAUI,-,-,-,1,-,-,-,-,-
220070 ANISIO DE ABREU,1,-,-,-,-,-,-,1,-
220100 ARRAIAL,-,-,-,1,-,-,-,-,-
220105 ASSUNCAO DO PIAUI,-,2,-,-,-,-,-,-,-
220110 AVELINO LOPES,-,1,1,-,-,-,1,1,-
220115 BAIXA GRANDE DO RIBEIRO,-,4,2,5,1,-,3,1,2
220117 BARRA D'ALCANTARA,-,-,-,-,1,-,-,-,-
220120 BARRAS,5,4,5,3,4,2,1,4,3
220130 BARREIRAS DO PIAUI,-,-,-,-,-,-,2,-,-
220140 BARRO DURO,-,-,1,-,1,-,1,1,1
220150 BATALHA,1,1,1,1,-,1,3,2,1
220155 BELA VISTA DO PIAUI,-,1,-,1,-,-,-,-,-
220160 BENEDITINOS,-,-,-,-,1,-,-,1,-
220170 BERTOLINIA,-,-,-,1,1,-,1,1,-
220173 BETANIA DO PIAUI,1,-,-,-,-,-,1,-,1
220177 BOA HORA,1,-,-,-,-,-,-,-,-
220180 BOCAINA,-,-,-,-,-,-,-,-,1
220190 BOM JESUS,11,14,8,17,6,9,14,7,10
220191 BOM PRINCIPIO DO PIAUI,-,1,-,1,-,-,-,-,-
220198 BREJO DO PIAUI,-,1,-,-,-,-,-,-,-
220200 BURITI DOS LOPES,-,1,2,-,-,-,-,-,-
220202 BURITI DOS MONTES,-,-,-,-,-,-,-,-,1
220205 CABECEIRAS DO PIAUI,-,1,-,-,-,-,-,-,-
220207 CAJAZEIRAS DO PIAUI,1,-,-,-,-,-,-,-,-
220210 CAMPINAS DO PIAUI,1,-,-,-,-,-,-,-,-
220211 CAMPO ALEGRE DO FIDALGO,1,1,-,-,-,-,-,-,-
220217 CAMPO LARGO DO PIAUI,-,1,-,-,1,-,1,-,-
220220 CAMPO MAIOR,3,4,3,6,-,2,4,5,1
220225 CANAVIEIRA,-,-,-,1,-,-,-,-,-
220230 CANTO DO BURITI,2,1,-,1,-,2,1,3,2
220245 CAPITAO GERVASIO OLIVEIRA,-,1,-,-,-,-,-,-,-
220250 CARACOL,2,-,-,-,1,-,1,1,1
220260 CASTELO DO PIAUI,6,3,2,1,1,3,1,1,1
220270 COCAL,-,-,-,1,1,1,-,-,3
220277 COLONIA DO PIAUI,1,-,-,1,1,1,-,-,-
220290 CORRENTE,4,11,11,18,10,6,5,4,6
220310 CRISTINO CASTRO,-,1,-,1,-,-,-,1,1
220320 CURIMATA,-,-,2,2,-,-,2,2,2
220323 CURRAIS,-,1,-,1,-,-,-,-,-
220325 CURRALINHOS,-,-,-,-,-,2,-,1,-
220327 CURRAL NOVO DO PIAUI,-,-,-,-,-,-,-,2,-
220330 DEMERVAL LOBAO,-,1,-,1,1,2,1,-,1
220335 DIRCEU ARCOVERDE,-,-,-,-,1,-,-,-,-
220340 DOM EXPEDITO LOPES,1,-,-,1,-,-,-,-,-
220345 DOM INOCENCIO,-,-,-,1,-,1,-,-,-
220350 ELESBAO VELOSO,-,1,-,1,-,-,-,1,2
220360 ELISEU MARTINS,1,-,1,-,1,1,2,-,-
220370 ESPERANTINA,5,5,8,5,7,9,4,7,7
220375 FARTURA DO PIAUI,1,-,-,-,-,-,-,-,-
220390 FLORIANO,17,25,22,20,59,76,52,69,50
220415 FRANCISCO MACEDO,-,-,1,-,-,-,-,-,-
220420 FRANCISCO SANTOS,-,-,-,-,-,-,-,1,-
220430 FRONTEIRAS,-,-,-,1,1,-,-,1,1
220435 GEMINIANO,-,-,1,-,-,-,-,-,-
220440 GILBUES,-,-,-,2,1,-,1,-,1
220450 GUADALUPE,-,1,-,-,-,1,-,1,2
220465 ILHA GRANDE,-,-,1,-,-,-,-,-,-
220470 INHUMA,-,-,1,1,1,-,1,-,-
220480 IPIRANGA DO PIAUI,-,1,1,-,-,1,-,-,-
220510 ITAUEIRA,3,-,1,2,1,2,2,-,1
220515 JACOBINA DO PIAUI,2,1,-,1,-,-,-,-,-
220520 JAICOS,-,-,1,-,-,-,-,2,-
220525 JARDIM DO MULATO,-,-,-,-,-,1,-,-,-
220530 JERUMENHA,-,-,-,-,-,-,1,-,-
220540 JOAQUIM PIRES,1,2,-,-,-,-,-,-,-
220545 JOCA MARQUES,-,-,-,-,-,-,-,-,1
220550 JOSE DE FREITAS,3,2,-,3,1,2,3,1,2
220551 JUAZEIRO DO PIAUI,-,-,-,1,-,-,-,1,-
220553 JUREMA,-,-,-,-,-,-,1,1,-
220554 LAGOINHA DO PIAUI,-,-,-,-,-,-,-,1,-
220555 LAGOA ALEGRE,-,1,2,-,-,-,-,-,-
220556 LAGOA DO BARRO DO PIAUI,-,-,-,-,-,1,-,-,-
220557 LAGOA DE SAO FRANCISCO,-,-,1,-,-,-,-,-,-
220558 LAGOA DO PIAUI,-,1,-,-,-,-,-,-,-
220560 LANDRI SALES,1,-,-,-,1,-,-,2,-
220570 LUIS CORREIA,-,-,-,-,2,-,2,1,-
220580 LUZILANDIA,3,3,3,2,-,2,2,3,3
220585 MADEIRO,-,1,-,1,-,1,-,-,-
220590 MANOEL EMIDIO,-,1,-,-,-,-,-,-,-
220595 MARCOLANDIA,-,-,-,1,-,-,-,-,2
220605 MASSAPE DO PIAUI,-,-,-,-,-,-,-,1,-
220610 MATIAS OLIMPIO,-,1,-,-,-,-,-,1,-
220620 MIGUEL ALVES,2,-,-,2,3,2,1,2,-
220635 MILTON BRANDAO,-,-,-,-,-,-,1,1,-
220640 MONSENHOR GIL,1,-,1,-,1,3,-,1,-
220660 MONTE ALEGRE DO PIAUI,-,1,1,2,-,1,2,-,2
220667 MORRO DO CHAPEU DO PIAUI,-,-,-,-,1,-,-,-,-
220669 MURICI DOS PORTELAS,-,-,1,-,-,-,1,-,-
220670 NAZARE DO PIAUI,1,-,-,-,-,-,-,-,-
220675 NOSSA SENHORA DE NAZARE,1,-,-,-,-,-,1,-,-
220690 NOVO ORIENTE DO PIAUI,-,-,-,-,-,-,-,1,-
220695 NOVO SANTO ANTONIO,-,-,-,1,-,-,-,-,-
220700 OEIRAS,5,3,1,5,8,7,5,8,9
220720 PADRE MARCOS,1,-,-,1,-,-,-,-,-
220750 PALMEIRAIS,-,2,-,-,-,1,-,-,2
220760 PARNAGUA,-,-,-,2,-,-,-,-,2
220770 PARNAIBA,76,57,76,72,92,90,82,82,66
220777 PATOS DO PIAUI,-,-,-,-,-,-,-,-,2
220780 PAULISTANA,6,5,2,3,2,1,1,5,2
220785 PAVUSSU,-,-,-,-,1,-,-,-,-
220790 PEDRO II,5,3,3,1,4,5,1,2,3
220800 PICOS,46,46,43,36,30,42,27,31,29
220820 PIO IX,-,1,1,-,-,1,-,-,1
220830 PIRACURUCA,2,6,4,3,3,1,1,1,-
220840 PIRIPIRI,8,8,3,7,5,5,5,7,14
220850 PORTO,1,1,-,-,-,-,-,1,-
220860 PRATA DO PIAUI,-,-,-,-,-,-,-,1,-
220865 QUEIMADA NOVA,-,1,-,1,-,-,-,-,-
220870 REDENCAO DO GURGUEIA,-,-,1,1,-,-,-,-,-
220880 REGENERACAO,2,-,-,-,-,2,3,-,-
220885 RIACHO FRIO,1,-,-,-,-,-,-,-,1
220890 RIBEIRO GONCALVES,-,-,-,-,-,-,-,-,1
220900 RIO GRANDE DO PIAUI,-,-,-,-,-,-,1,-,-
220910 SANTA CRUZ DO PIAUI,1,-,-,-,-,-,-,-,-
220915 SANTA CRUZ DOS MILAGRES,1,-,-,-,-,-,-,-,-
220920 SANTA FILOMENA,-,-,-,1,2,1,1,1,-
220930 SANTA LUZ,-,1,-,-,-,1,-,-,-
220937 SANTA ROSA DO PIAUI,-,1,-,-,1,-,1,-,-
220940 SANTO ANTONIO DE LISBOA,1,-,-,-,1,-,-,-,-
220965 SAO FRANCISCO DE ASSIS DO PIAUI,2,-,-,1,1,1,1,-,-
220970 SAO FRANCISCO DO PIAUI,1,-,-,-,1,1,-,-,-
220975 SAO GONCALO DO GURGUEIA,1,1,-,-,-,-,-,-,-
220987 SAO JOAO DA FRONTEIRA,-,1,-,-,-,-,-,-,-
220990 SAO JOAO DA SERRA,-,-,1,-,-,-,-,-,1
220997 SAO JOAO DO ARRAIAL,2,-,-,1,-,-,-,1,-
221000 SAO JOAO DO PIAUI,2,4,2,4,4,2,4,5,6
221010 SAO JOSE DO PEIXE,-,-,-,-,-,-,-,2,-
221020 SAO JOSE DO PIAUI,-,-,-,-,-,-,1,-,-
221030 SAO JULIAO,-,-,-,-,-,1,-,-,-
221039 SAO MIGUEL DO FIDALGO,-,-,-,1,-,-,-,-,-
221040 SAO MIGUEL DO TAPUIO,2,-,4,-,1,2,-,1,-
221050 SAO PEDRO DO PIAUI,2,1,-,1,2,1,2,-,2
221060 SAO RAIMUNDO NONATO,14,16,7,14,18,12,10,7,10
221065 SIGEFREDO PACHECO,-,-,-,-,1,1,-,-,-
221070 SIMOES,4,3,5,4,3,-,-,-,1
221080 SIMPLICIO MENDES,1,-,2,1,-,-,7,5,1
221093 SUSSUAPARA,1,-,-,-,-,-,-,-,-
221095 TAMBORIL DO PIAUI,-,-,-,-,-,-,-,1,-
221100 TERESINA,567,536,555,557,540,477,467,387,409
221110 UNIAO,3,2,3,-,3,-,3,-,3
221120 URUCUI,-,-,-,3,5,3,2,2,2
221130 VALENCA DO PIAUI,2,3,3,2,5,2,2,1,4
221135 VARZEA BRANCA,1,-,-,-,-,-,-,1,-
221140 VARZEA GRANDE,1,-,-,-,-,-,-,1,-
221150 VERA MENDES,-,-,-,-,-,-,1,-,-
230010 ABAIARA,-,-,-,-,-,-,-,-,1
230015 ACARAPE,1,-,-,1,-,2,1,-,-
230020 ACARAU,3,2,4,6,4,6,4,5,4
230030 ACOPIARA,5,6,2,2,4,2,2,5,2
230040 AIUABA,-,1,1,-,-,1,-,1,1
230060 ALTANEIRA,-,-,-,-,1,1,-,-,-
230070 ALTO SANTO,1,-,-,-,1,-,-,-,-
230075 AMONTADA,1,1,1,-,1,1,1,-,1
230080 ANTONINA DO NORTE,-,-,-,-,-,1,-,-,-
230090 APUIARES,-,-,-,-,-,1,-,-,-
230100 AQUIRAZ,1,-,1,1,1,-,-,-,-
230110 ARACATI,15,8,9,5,7,5,4,7,4
230120 ARACOIABA,-,-,-,1,-,1,-,-,2
230125 ARARENDA,-,-,1,-,-,1,-,-,1
230130 ARARIPE,1,2,-,-,1,2,-,-,-
230150 ARNEIROZ,-,-,-,-,-,-,-,1,-
230160 ASSARE,1,1,1,-,-,-,-,-,1
230170 AURORA,3,-,-,-,3,-,-,-,2
230180 BAIXIO,1,-,-,-,-,-,-,-,-
230185 BANABUIU,-,1,1,1,-,-,1,-,-
230190 BARBALHA,68,85,89,81,79,83,58,45,60
230195 BARREIRA,-,-,-,-,1,1,-,-,1
230200 BARRO,-,2,-,-,1,-,-,-,1
230205 BARROQUINHA,-,1,-,-,-,1,-,-,-
230210 BATURITE,8,8,5,9,9,6,7,4,4
230220 BEBERIBE,2,1,-,1,1,2,1,4,-
230230 BELA CRUZ,1,-,1,1,2,-,1,2,1
230240 BOA VIAGEM,2,5,6,3,3,5,1,-,4
230250 BREJO SANTO,19,16,17,14,9,12,15,8,10
230260 CAMOCIM,7,3,8,7,6,-,1,1,2
230270 CAMPOS SALES,1,1,2,1,3,2,5,1,1
230280 CANINDE,12,10,12,8,7,8,10,11,3
230290 CAPISTRANO,-,-,-,-,-,-,-,1,-
230300 CARIDADE,1,-,-,-,-,1,-,1,-
230310 CARIRE,-,1,2,-,-,1,-,-,-
230320 CARIRIACU,1,-,-,-,-,1,3,-,-
230330 CARIUS,-,1,-,-,-,-,1,1,-
230340 CARNAUBAL,-,1,-,1,2,-,1,-,-
230350 CASCAVEL,1,2,4,-,2,2,3,1,1
230360 CATARINA,-,-,-,1,-,1,-,-,-
230365 CATUNDA,-,-,-,1,1,-,1,-,-
230370 CAUCAIA,14,7,8,9,8,9,16,3,4
230380 CEDRO,1,1,1,2,2,2,1,-,1
230390 CHAVAL,-,-,1,-,-,-,1,-,-
230393 CHORO,1,1,-,-,-,-,-,1,-
230395 CHOROZINHO,1,1,-,2,2,-,-,-,1
230400 COREAU,-,-,-,-,1,-,-,-,-
230410 CRATEUS,31,31,34,35,23,25,26,17,18
230420 CRATO,31,27,21,23,32,30,54,44,39
230423 CROATA,-,1,-,-,3,1,2,-,-
230425 CRUZ,1,1,1,2,-,1,1,-,1
230427 ERERE,-,-,-,-,1,-,-,-,-
230428 EUSEBIO,-,4,2,1,-,4,4,-,-
230430 FARIAS BRITO,-,-,-,1,2,-,-,1,1
230435 FORQUILHA,-,-,-,-,-,1,1,-,1
230440 FORTALEZA,894,864,895,917,1005,884,878,798,751
230445 FORTIM,-,-,1,-,-,1,-,-,-
230450 FRECHEIRINHA,1,-,-,-,1,1,-,1,-
230460 GENERAL SAMPAIO,1,-,-,-,-,-,-,-,-
230465 GRACA,-,-,-,-,-,-,-,2,1
230470 GRANJA,5,3,5,4,2,1,1,1,1
230480 GRANJEIRO,-,-,-,-,-,-,-,2,-
230495 GUAIUBA,2,2,1,1,-,-,-,-,2
230500 GUARACIABA DO NORTE,-,-,2,-,2,4,3,-,1
230510 GUARAMIRANGA,-,-,1,-,-,-,-,-,-
230520 HIDROLANDIA,-,1,-,-,1,-,1,1,-
230523 HORIZONTE,2,5,3,2,2,1,3,1,4
230526 IBARETAMA,1,1,-,1,1,-,-,-,-
230530 IBIAPINA,1,-,2,-,1,-,-,-,-
230535 ICAPUI,-,-,1,1,-,-,-,-,-
230540 ICO,8,4,7,4,3,4,3,4,1
230550 IGUATU,24,8,11,7,28,25,20,14,15
230560 INDEPENDENCIA,-,-,-,1,1,-,-,1,-
230570 IPAUMIRIM,-,-,-,1,-,-,-,-,-
230580 IPU,3,3,2,2,1,5,-,-,-
230590 IPUEIRAS,3,2,-,1,1,1,1,-,-
230600 IRACEMA,-,-,-,1,-,-,-,1,-
230610 IRAUCUBA,1,1,-,-,-,4,-,1,-
230620 ITAICABA,1,-,-,-,-,-,-,-,1
230625 ITAITINGA,-,1,1,-,1,1,-,-,-
230630 ITAPAGE,1,2,2,3,3,1,1,-,3
230640 ITAPIPOCA,38,39,31,31,28,22,33,34,18
230650 ITAPIUNA,1,-,-,-,-,-,-,-,-
230655 ITAREMA,3,1,1,1,4,2,-,1,1
230660 ITATIRA,-,1,1,1,1,1,-,-,-
230670 JAGUARETAMA,-,1,-,-,-,-,-,-,1
230680 JAGUARIBARA,-,-,-,-,-,1,-,1,-
230690 JAGUARIBE,5,1,1,3,1,-,2,6,-
230700 JAGUARUANA,-,-,-,-,-,-,1,-,-
230710 JARDIM,1,-,1,-,-,-,-,1,1
230725 JIJOCA DE JERICOACOARA,-,-,1,-,-,2,-,1,1
230730 JUAZEIRO DO NORTE,103,67,60,73,43,47,50,47,34
230740 JUCAS,1,-,1,-,-,-,2,-,1
230750 LAVRAS DA MANGABEIRA,3,5,1,2,1,1,1,-,-
230760 LIMOEIRO DO NORTE,7,7,11,7,10,4,7,11,3
230763 MADALENA,2,-,-,1,1,1,-,1,-
230765 MARACANAU,9,12,19,11,9,7,18,7,11
230770 MARANGUAPE,5,2,4,3,4,5,2,3,2
230780 MARCO,-,1,3,2,1,1,1,1,2
230790 MARTINOPOLE,-,-,-,-,-,-,1,-,1
230800 MASSAPE,1,-,-,-,2,1,2,3,1
230810 MAURITI,2,2,2,1,1,5,2,3,-
230820 MERUOCA,1,-,1,-,1,-,-,-,-
230830 MILAGRES,-,-,-,1,-,-,2,2,2
230835 MILHA,1,-,2,-,-,-,-,1,1
230840 MISSAO VELHA,-,2,-,-,-,-,2,-,2
230850 MOMBACA,3,1,3,3,2,3,1,1,1
230860 MONSENHOR TABOSA,1,-,1,3,-,-,1,-,2
230870 MORADA NOVA,1,1,3,1,-,1,2,3,2
230880 MORAUJO,-,-,1,1,-,-,-,1,-
230890 MORRINHOS,-,-,1,-,1,-,-,-,-
230900 MUCAMBO,1,-,1,-,1,1,-,-,2
230910 MULUNGU,-,-,-,-,-,1,1,-,-
230920 NOVA OLINDA,-,1,-,-,-,-,1,-,-
230930 NOVA RUSSAS,-,2,3,1,1,-,1,1,-
230940 NOVO ORIENTE,1,-,-,-,1,1,-,-,-
230945 OCARA,1,1,-,-,1,1,-,2,-
230950 OROS,1,1,2,-,-,1,2,-,-
230960 PACAJUS,-,4,-,-,-,1,1,-,-
230970 PACATUBA,1,-,1,3,1,1,-,-,1
230980 PACOTI,-,-,-,-,-,-,-,1,1
230990 PACUJA,1,-,1,-,-,-,-,-,-
231010 PALMACIA,-,-,1,-,-,-,-,-,-
231020 PARACURU,4,-,3,1,1,-,1,1,1
231025 PARAIPABA,1,-,-,-,-,2,-,-,-
231030 PARAMBU,3,-,1,1,-,1,2,2,-
231040 PARAMOTI,-,1,-,1,-,-,-,-,-
231050 PEDRA BRANCA,2,4,2,1,2,1,1,2,1
231060 PENAFORTE,1,-,-,-,1,2,1,-,-
231070 PENTECOSTE,3,1,1,1,2,1,1,1,3
231080 PEREIRO,1,1,2,1,1,1,-,-,-
231085 PINDORETAMA,-,-,-,-,1,-,1,2,1
231090 PIQUET CARNEIRO,1,-,-,1,-,1,-,2,-
231100 PORANGA,-,1,-,-,1,1,-,-,-
231110 PORTEIRAS,-,1,1,-,-,-,-,-,1
231120 POTENGI,1,-,1,-,-,-,-,-,2
231123 POTIRETAMA,-,-,-,-,-,1,-,-,-
231126 QUITERIANOPOLIS,-,3,-,-,1,1,-,-,-
231130 QUIXADA,40,33,39,41,51,37,26,26,31
231135 QUIXELO,-,-,1,-,-,-,-,-,-
231140 QUIXERAMOBIM,2,3,2,7,5,3,25,27,27
231150 QUIXERE,1,-,1,-,1,-,-,-,-
