Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
240960 PEDRA PRETA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
240980 PEDRO VELHO,-,-,1,1,-,2,-,-,-,-,-,-,1,5
240990 PENDENCIAS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
241010 POCO BRANCO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
241025 PORTO DO MANGUE,-,-,-,-,-,-,-,-,-,-,-,-,1,1
241090 RIACHUELO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
241105 TIBAU,-,-,-,1,1,-,-,-,-,-,-,-,-,2
241120 SANTA CRUZ,-,1,45,63,51,32,29,13,1,-,-,-,17,252
241140 SANTANA DO MATOS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
241150 SANTO ANTONIO,-,-,2,6,5,2,1,1,-,-,-,-,2,19
241160 SAO BENTO DO NORTE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
241170 SAO BENTO DO TRAIRI,-,-,-,1,-,-,-,-,-,-,-,-,-,1
241200 SAO GONCALO DO AMARANTE,-,2,10,10,10,9,5,2,-,-,-,-,-,48
241220 SAO JOSE DE MIPIBU,-,1,27,29,23,23,18,2,-,-,-,-,6,129
241250 SAO MIGUEL,-,-,-,-,2,-,-,-,-,-,-,-,-,2
241255 SAO MIGUEL DO GOSTOSO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
241260 SAO PAULO DO POTENGI,-,-,-,-,-,3,1,-,-,-,-,-,-,4
241270 SAO PEDRO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
241280 SAO RAFAEL,-,-,1,-,-,-,-,-,-,-,-,-,-,1
241290 SAO TOME,-,-,-,-,-,-,1,-,-,-,-,-,-,1
241310 SENADOR ELOI DE SOUZA,-,-,-,-,-,2,-,-,-,-,-,-,1,3
241350 SERRINHA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
241370 SITIO NOVO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
241390 TAIPU,-,-,-,-,-,-,-,-,-,-,-,-,5,5
241400 TANGARA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
241410 TENENTE ANANIAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
241415 TENENTE LAURENTINO CRUZ,-,-,-,-,1,-,-,-,-,-,-,-,1,2
241420 TIBAU DO SUL,-,-,2,2,1,-,-,-,-,-,-,-,-,5
241440 TOUROS,-,-,1,3,-,-,-,-,-,-,-,-,-,4
241450 UMARIZAL,-,-,-,-,-,-,1,-,-,-,-,-,-,1
241480 VERA CRUZ,-,-,-,-,-,1,-,-,-,-,-,-,-,1
241500 VILA FLOR,-,-,-,1,-,-,-,-,-,-,-,-,-,1
MUNICIPIO IGNORADO - PB,-,-,-,-,-,-,-,-,-,-,-,-,2,2
250030 ALAGOA GRANDE,-,-,2,1,-,-,1,-,-,-,-,-,1,5
250050 ALAGOINHA,-,-,-,2,-,1,1,-,-,-,-,-,2,6
250060 ALHANDRA,-,-,1,2,-,-,-,2,-,-,-,-,1,6
250070 SAO JOAO DO RIO DO PEIXE,-,-,-,-,1,-,1,-,-,-,-,-,-,2
250080 ARACAGI,-,-,-,-,1,2,-,-,-,-,-,-,-,3
250090 ARARA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250100 ARARUNA,-,-,-,2,-,-,1,-,-,-,-,-,-,3
250110 AREIA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250120 AREIAL,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250130 AROEIRAS,-,-,-,1,-,1,-,-,-,-,-,-,-,2
250150 BANANEIRAS,-,-,-,-,-,1,2,-,-,-,-,-,1,4
250160 BARRA DE SANTA ROSA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
250180 BAYEUX,-,1,10,6,5,2,8,-,-,-,-,-,5,37
250190 BELEM,-,1,-,1,-,-,1,-,-,-,-,-,-,3
250240 BONITO DE SANTA FE,-,-,-,-,-,2,-,-,-,-,-,-,-,2
250260 IGARACY,-,-,-,-,1,-,-,-,-,-,-,-,1,2
250270 BORBOREMA,-,-,-,-,-,1,1,-,-,-,-,-,-,2
250280 BREJO DO CRUZ,-,-,1,-,-,-,-,-,-,-,-,-,-,1
250290 BREJO DOS SANTOS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
250300 CAAPORA,-,-,-,1,1,-,-,-,-,-,-,-,2,4
250320 CABEDELO,-,1,7,12,5,8,4,-,-,-,-,-,7,44
250330 CACHOEIRA DOS INDIOS,-,-,-,-,1,-,-,-,-,-,-,-,1,2
250350 CACIMBA DE DENTRO,-,-,-,1,1,-,1,-,-,-,-,-,2,5
250355 CACIMBAS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
250360 CAICARA,-,-,1,-,-,-,1,-,-,-,-,-,1,3
250370 CAJAZEIRAS,-,1,22,34,31,33,15,8,-,-,-,-,19,163
250400 CAMPINA GRANDE,-,18,219,300,329,277,219,87,7,1,-,-,97,1.554
250403 CAPIM,-,1,-,-,-,-,-,-,-,-,-,-,-,1
250407 CARAUBAS,-,-,-,2,-,-,-,-,-,-,-,-,-,2
250420 CATINGUEIRA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250430 CATOLE DO ROCHA,-,2,14,21,19,10,15,5,-,-,-,-,21,107
250440 CONCEICAO,-,1,-,2,1,-,-,2,-,-,-,-,-,6
250480 COREMAS,-,-,3,1,1,-,-,-,-,-,-,-,-,5
250490 CRUZ DO ESPIRITO SANTO,-,-,-,-,-,-,-,-,-,-,-,-,2,2
250510 CUITE,-,1,2,-,1,-,1,-,-,-,-,-,-,5
250520 CUITEGI,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250530 CURRAL VELHO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
250535 DAMIAO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250570 DONA INES,-,-,-,1,-,-,-,-,-,-,-,-,2,3
250580 DUAS ESTRADAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
250600 ESPERANCA,-,-,1,2,3,-,2,1,-,-,-,-,2,11
250630 GUARABIRA,-,1,29,37,34,30,26,13,-,-,-,-,30,200
250670 IMACULADA,-,-,-,2,-,-,-,-,-,-,-,-,-,2
250680 INGA,-,-,-,-,-,-,-,-,-,-,-,-,2,2
250690 ITABAIANA,-,1,5,2,5,4,3,2,1,-,-,-,12,35
250700 ITAPORANGA,-,2,7,10,5,6,3,3,-,-,-,-,2,38
250710 ITAPOROROCA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250750 JOAO PESSOA,-,22,323,467,440,427,290,98,8,-,-,-,119,2.194
250770 JUAZEIRINHO,-,1,-,-,-,-,1,-,-,-,-,-,3,5
250820 LAGOA DE DENTRO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250830 LAGOA SECA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250855 LOGRADOURO,-,-,-,1,2,-,-,-,-,-,-,-,-,3
250860 LUCENA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
250870 MAE D'AGUA,-,-,-,-,-,-,2,-,-,-,-,-,-,2
250880 MALTA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
250890 MAMANGUAPE,-,2,16,21,17,10,9,5,-,-,-,-,7,87
250910 MARI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
250920 MASSARANDUBA,-,-,-,1,-,-,-,-,-,-,-,-,1,2
250930 MATARACA,-,-,-,1,-,-,-,-,-,-,-,-,1,2
250940 MOGEIRO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
250970 MONTEIRO,-,1,10,10,10,6,4,1,-,-,-,-,-,42
250980 MULUNGU,-,-,1,-,1,-,-,-,-,-,-,-,-,2
250990 NATUBA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
251010 NOVA FLORESTA,-,-,1,-,1,-,-,1,-,-,-,-,-,3
251080 PATOS,-,7,98,119,119,112,75,26,2,-,-,-,43,601
251090 PAULISTA,-,-,2,-,-,-,-,-,-,-,-,-,1,3
251100 PEDRA BRANCA,-,-,-,-,-,-,-,-,-,-,-,-,2,2
251110 PEDRA LAVRADA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251120 PEDRAS DE FOGO,-,-,2,-,-,1,-,-,-,-,-,-,2,5
251130 PIANCO,-,-,1,5,3,-,2,-,-,-,-,-,2,13
251140 PICUI,-,-,5,8,7,6,1,2,-,-,-,-,2,31
251160 PILOES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
251180 PIRPIRITUBA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251190 PITIMBU,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251203 POCO DANTAS,-,-,-,-,1,1,1,-,-,-,-,-,-,3
251210 POMBAL,-,-,4,8,10,11,11,1,-,-,-,-,18,63
251230 PRINCESA ISABEL,-,-,1,2,2,3,1,1,1,-,-,-,4,15
251250 QUEIMADAS,-,-,2,-,2,3,-,-,-,-,-,-,3,10
251260 QUIXABA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251270 REMIGIO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
251274 RIACHAO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251276 RIACHAO DO POCO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251280 RIACHO DOS CAVALOS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
251340 SANTA LUZIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251360 SANTANA DOS GARROTES,-,-,-,-,-,-,-,-,-,-,-,-,1,1
251370 SANTA RITA,-,2,21,24,27,19,10,4,1,-,-,-,50,158
251390 SAO BENTO,-,-,1,5,-,3,-,-,-,-,-,-,3,12
251396 SAO DOMINGOS,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251450 SAO JOSE DE PIRANHAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251490 SAO MAMEDE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
251530 SAPE,-,-,-,3,-,-,-,-,-,-,-,-,-,3
251550 SERRA BRANCA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251560 SERRA DA RAIZ,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251590 SERRARIA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
251600 SOLANEA,-,2,4,6,1,4,5,2,-,-,-,-,-,24
251610 SOLEDADE,-,-,1,-,-,1,-,-,-,-,-,-,-,2
251620 SOUSA,-,2,18,24,24,28,12,8,1,-,-,-,34,151
251630 SUME,-,-,3,1,10,4,2,-,-,-,-,-,2,22
251640 TACIMA,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251650 TAPEROA,-,-,2,1,1,-,-,-,-,-,-,-,3,7
251660 TAVARES,-,-,2,-,-,-,-,-,-,-,-,-,-,2
251670 TEIXEIRA,-,-,1,-,1,-,-,1,-,-,-,-,1,4
251675 TENORIO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
251680 TRIUNFO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
251690 UIRAUNA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251710 VARZEA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
MUNICIPIO IGNORADO - PE,-,-,-,-,-,-,-,-,-,-,-,-,1,1
260005 ABREU E LIMA,-,1,22,13,15,14,11,1,1,-,-,-,9,87
260010 AFOGADOS DA INGAZEIRA,-,2,37,47,40,55,18,18,1,-,-,-,5,223
260020 AFRANIO,-,-,3,1,-,-,2,-,-,-,-,-,2,8
260030 AGRESTINA,-,-,-,4,3,-,1,-,-,-,-,-,-,8
260040 AGUA PRETA,-,-,1,1,-,2,1,-,-,-,-,-,-,5
260050 AGUAS BELAS,-,-,4,3,4,2,1,-,-,-,-,-,5,19
260060 ALAGOINHA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
260070 ALIANCA,-,-,-,1,-,-,-,-,-,-,-,-,2,3
260080 ALTINHO,-,-,4,1,2,1,-,-,-,-,-,-,-,8
260090 AMARAJI,-,-,-,1,-,-,-,-,-,-,-,-,-,1
260100 ANGELIM,-,-,-,-,1,1,-,-,-,-,-,-,1,3
260105 ARACOIABA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260110 ARARIPINA,-,5,33,59,49,39,24,11,3,-,-,-,1,224
260120 ARCOVERDE,-,4,89,87,67,72,44,22,3,-,-,-,69,457
260130 BARRA DE GUABIRABA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260140 BARREIROS,-,2,4,2,4,1,3,1,-,-,-,-,6,23
260160 BELEM DE SAO FRANCISCO,-,1,3,1,1,2,-,1,1,-,-,-,-,10
260170 BELO JARDIM,-,1,3,5,3,2,1,4,-,-,-,-,1,20
260180 BETANIA,-,-,1,1,1,2,2,-,-,-,-,-,2,9
260190 BEZERROS,-,-,4,1,3,2,3,2,-,-,-,-,6,21
260200 BODOCO,-,-,3,-,-,2,-,-,-,-,-,-,-,5
260210 BOM CONSELHO,-,-,5,4,6,-,-,-,-,-,-,-,2,17
260220 BOM JARDIM,-,-,-,1,-,2,-,-,-,-,-,-,-,3
260230 BONITO,-,-,2,4,3,3,2,-,-,-,-,-,2,16
260240 BREJAO,-,-,1,1,-,-,-,-,-,-,-,-,-,2
260250 BREJINHO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
260260 BREJO DA MADRE DE DEUS,-,-,2,2,2,2,2,2,-,-,-,-,1,13
260270 BUENOS AIRES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260280 BUIQUE,-,1,8,3,3,2,3,2,-,-,-,-,2,24
260290 CABO DE SANTO AGOSTINHO,-,-,18,26,15,5,5,4,1,-,-,-,7,81
260300 CABROBO,-,-,5,2,4,3,1,-,-,-,-,-,3,18
260310 CACHOEIRINHA,-,-,1,-,4,1,1,-,-,-,-,-,-,7
260320 CAETES,-,-,-,-,-,1,2,-,-,-,-,-,1,4
260330 CALCADO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
260340 CALUMBI,-,-,-,1,-,-,-,1,-,-,-,-,-,2
260345 CAMARAGIBE,-,-,6,13,9,5,3,1,-,-,-,-,7,44
260350 CAMOCIM DE SAO FELIX,-,-,-,-,-,-,1,-,-,-,-,-,-,1
260360 CAMUTANGA,-,-,1,1,-,1,-,-,-,-,-,-,1,4
260370 CANHOTINHO,-,-,2,2,-,1,-,-,-,-,-,-,2,7
260380 CAPOEIRAS,-,-,1,1,-,2,-,-,-,-,-,-,2,6
260390 CARNAIBA,-,-,-,-,-,-,-,1,-,-,-,-,-,1
260392 CARNAUBEIRA DA PENHA,-,-,-,2,-,1,-,-,-,-,-,-,-,3
260400 CARPINA,-,-,3,-,1,1,3,1,-,-,-,-,2,11
260410 CARUARU,-,18,202,250,283,214,139,61,7,-,-,-,33,1.207
260415 CASINHAS,-,-,1,-,3,-,-,-,-,-,-,-,-,4
260420 CATENDE,-,-,-,-,2,1,-,-,-,-,-,-,-,3
260430 CEDRO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260440 CHA DE ALEGRIA,-,-,-,-,1,-,1,-,-,-,-,-,1,3
260450 CHA GRANDE,-,-,1,3,-,-,1,-,-,-,-,-,1,6
260460 CONDADO,-,-,-,1,1,-,-,-,-,-,-,-,-,2
260470 CORRENTES,-,-,-,1,-,1,2,-,-,-,-,-,3,7
260480 CORTES,-,-,2,3,1,-,-,-,-,-,-,-,-,6
260490 CUMARU,-,-,-,1,-,-,-,-,-,-,-,-,-,1
260500 CUPIRA,-,-,1,1,1,2,1,-,-,-,-,-,1,7
260510 CUSTODIA,-,-,4,3,5,5,1,-,-,-,-,-,5,23
260515 DORMENTES,-,-,-,3,2,1,-,-,-,-,-,-,-,6
260520 ESCADA,-,-,2,4,6,2,1,-,-,-,-,-,5,20
260530 EXU,-,-,1,2,-,1,1,-,-,-,-,-,-,5
260540 FEIRA NOVA,-,-,-,-,2,1,-,-,-,-,-,-,-,3
260550 FERREIROS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
260570 FLORESTA,-,1,12,20,11,5,4,2,-,-,-,-,9,64
260580 FREI MIGUELINHO,-,-,1,-,-,-,-,-,-,-,-,-,1,2
260590 GAMELEIRA,-,-,3,2,-,1,2,1,-,-,-,-,1,10
260600 GARANHUNS,-,2,74,96,90,75,56,20,3,-,-,-,103,519
260620 GOIANA,-,-,5,11,6,9,4,4,-,-,-,-,8,47
260630 GRANITO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
260640 GRAVATA,-,-,5,1,6,1,4,-,-,-,-,-,3,20
260650 IATI,-,-,1,2,1,4,1,1,1,-,-,-,1,12
260660 IBIMIRIM,-,-,4,5,3,3,2,-,-,-,-,-,1,18
260680 IGARASSU,-,-,-,2,-,1,-,1,-,-,-,-,4,8
260700 INAJA,-,2,3,4,2,3,-,-,-,-,-,-,2,16
260720 IPOJUCA,-,1,27,15,9,3,6,3,-,-,-,-,5,69
260730 IPUBI,-,-,3,-,3,2,-,-,-,-,-,-,-,8
260740 ITACURUBA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260750 ITAIBA,-,-,-,3,2,2,2,-,-,-,-,-,1,10
260760 ILHA DE ITAMARACA,-,-,1,-,-,-,-,-,-,-,-,-,2,3
260765 ITAMBE,-,-,3,4,-,1,-,-,-,-,-,-,2,10
260770 ITAPETIM,-,-,-,-,-,1,-,-,-,-,-,-,-,1
260780 ITAQUITINGA,-,-,1,-,-,-,1,1,-,-,-,-,-,3
260790 JABOATAO DOS GUARARAPES,-,4,56,77,55,36,32,10,-,-,-,-,67,337
260795 JAQUEIRA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
260800 JATAUBA,-,-,-,1,3,-,1,-,-,-,-,-,-,5
260805 JATOBA,-,-,1,1,-,2,-,-,-,-,-,-,1,5
260810 JOAO ALFREDO,-,-,1,1,2,1,2,1,-,-,-,-,1,9
260825 JUCATI,-,-,-,-,-,1,-,-,-,-,-,-,-,1
260830 JUPI,-,-,1,-,-,1,-,-,-,-,-,-,-,2
260840 JUREMA,-,-,-,1,-,1,1,-,-,-,-,-,1,4
260845 LAGOA DO CARRO,-,-,1,-,-,-,-,-,-,-,-,-,1,2
260850 LAGOA DE ITAENGA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
260860 LAGOA DO OURO,-,-,-,-,-,-,1,1,-,-,-,-,1,3
260870 LAGOA DOS GATOS,-,1,1,2,-,-,-,-,-,-,-,-,2,6
260875 LAGOA GRANDE,-,1,-,2,3,2,1,-,-,-,-,-,-,9
260880 LAJEDO,-,-,-,-,1,1,-,1,-,-,-,-,2,5
260890 LIMOEIRO,-,-,22,16,18,22,8,5,-,-,-,-,34,125
260900 MACAPARANA,-,-,3,2,1,1,2,-,-,-,-,-,1,10
260910 MACHADOS,-,-,-,2,-,-,-,-,-,-,-,-,2,4
260915 MANARI,-,-,6,3,5,3,3,-,-,-,-,-,1,21
260920 MARAIAL,-,-,-,1,1,-,-,-,-,-,-,-,-,2
260930 MIRANDIBA,-,-,-,-,-,-,-,-,-,-,-,-,2,2
260940 MORENO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
260950 NAZARE DA MATA,-,2,37,45,26,24,20,6,-,-,-,-,14,174
260960 OLINDA,-,-,70,49,35,28,14,10,1,-,-,-,50,257
260970 OROBO,-,-,1,2,-,1,1,-,-,-,-,-,3,8
260980 OROCO,-,-,1,1,-,1,-,-,-,-,-,-,2,5
260990 OURICURI,-,2,62,68,77,61,34,17,1,-,-,-,11,333
261000 PALMARES,-,5,73,101,73,58,28,11,-,-,-,-,75,424
261020 PANELAS,-,-,1,1,1,1,1,-,-,-,-,-,1,6
261040 PARNAMIRIM,-,1,-,1,2,1,1,-,-,-,-,-,1,7
261050 PASSIRA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
261060 PAUDALHO,-,-,1,-,-,2,-,1,-,-,-,-,-,4
261070 PAULISTA,-,-,-,2,3,2,1,-,-,-,-,-,4,12
261090 PESQUEIRA,-,1,13,15,16,9,7,4,-,-,-,-,2,67
261100 PETROLANDIA,-,2,6,16,15,9,8,-,-,-,-,-,25,81
261110 PETROLINA,-,24,269,314,322,287,165,61,11,-,-,-,52,1.505
261120 POCAO,-,-,-,-,-,1,-,3,-,-,-,-,1,5
261130 POMBOS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
261140 PRIMAVERA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
261150 QUIPAPA,-,-,1,-,-,-,1,-,-,-,-,-,-,2
261153 QUIXABA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
261160 RECIFE,-,56,940,1.255,1.311,1.182,812,318,22,1,-,-,449,6.346
261170 RIACHO DAS ALMAS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
261180 RIBEIRAO,-,-,3,6,4,-,2,-,-,-,-,-,2,17
261190 RIO FORMOSO,-,1,1,-,1,-,-,-,-,-,-,-,-,3
261200 SAIRE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
261220 SALGUEIRO,-,4,63,59,51,52,27,17,1,-,-,-,6,280
261230 SALOA,-,-,3,-,2,1,1,-,-,-,-,-,-,7
261240 SANHARO,-,-,4,-,2,2,-,1,-,-,-,-,-,9
261245 SANTA CRUZ,-,-,-,1,2,2,1,-,-,-,-,-,-,6
261250 SANTA CRUZ DO CAPIBARIBE,-,-,1,8,-,2,2,1,-,-,-,-,5,19
261255 SANTA FILOMENA,-,-,1,2,1,1,-,-,-,-,-,-,3,8
261260 SANTA MARIA DA BOA VISTA,-,-,1,5,5,3,2,1,-,-,-,-,3,20
261280 SANTA TEREZINHA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
261290 SAO BENEDITO DO SUL,-,-,1,1,1,1,1,-,-,-,-,-,-,5
261300 SAO BENTO DO UNA,-,-,3,3,1,2,1,-,-,-,-,-,1,11
261310 SAO CAITANO,-,-,3,1,2,1,1,-,-,-,-,-,-,8
261320 SAO JOAO,-,-,-,-,-,2,-,-,-,-,-,-,-,2
261330 SAO JOAQUIM DO MONTE,-,-,-,3,-,-,-,-,-,-,-,-,1,4
261340 SAO JOSE DA COROA GRANDE,-,-,-,-,-,3,1,-,-,-,-,-,-,4
261350 SAO JOSE DO BELMONTE,-,-,2,3,2,-,1,1,-,-,-,-,7,16
261360 SAO JOSE DO EGITO,-,-,5,5,4,4,7,-,-,-,-,-,-,25
261370 SAO LOURENCO DA MATA,-,1,23,14,16,13,3,2,-,-,-,-,7,79
261380 SAO VICENTE FERRER,-,-,-,2,-,-,-,-,-,-,-,-,-,2
261390 SERRA TALHADA,-,1,37,50,55,40,34,7,-,-,-,-,20,244
261400 SERRITA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
261410 SERTANIA,-,-,2,1,1,1,1,-,-,-,-,-,-,6
261420 SIRINHAEM,-,1,3,-,5,3,-,-,-,-,-,-,1,13
261430 MOREILANDIA,-,-,-,-,-,1,1,-,-,-,-,-,-,2
261440 SOLIDAO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
261450 SURUBIM,-,-,5,6,6,2,-,1,-,-,-,-,1,21
261460 TABIRA,-,-,1,1,2,2,-,-,-,-,-,-,1,7
261480 TACARATU,-,-,4,2,-,2,-,-,-,-,-,-,-,8
261485 TAMANDARE,-,-,1,1,1,-,-,-,-,-,-,-,1,4
261500 TAQUARITINGA DO NORTE,-,-,-,-,1,-,1,-,-,-,-,-,1,3
261510 TEREZINHA,-,-,-,1,-,2,-,-,-,-,-,-,-,3
261530 TIMBAUBA,-,-,3,9,3,8,1,1,1,-,-,-,3,29
261540 TORITAMA,-,-,2,3,1,-,-,-,-,-,-,-,1,7
261550 TRACUNHAEM,-,-,-,2,-,1,-,-,-,-,-,-,-,3
261560 TRINDADE,-,-,-,6,1,-,3,-,-,-,-,-,-,10
261570 TRIUNFO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
261580 TUPANATINGA,-,1,4,-,5,-,4,2,-,-,-,-,3,19
261590 TUPARETAMA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
261600 VENTUROSA,-,-,-,3,1,1,1,-,-,-,-,-,-,6
261618 VERTENTE DO LERIO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
261620 VERTENTES,-,-,-,4,2,4,1,1,-,-,-,-,1,13
261630 VICENCIA,-,-,2,1,2,-,1,-,-,-,-,-,-,6
261640 VITORIA DE SANTO ANTAO,-,7,72,73,63,57,29,11,1,-,-,-,52,365
261650 XEXEU,-,-,1,2,-,-,-,-,-,-,-,-,-,3
270010 AGUA BRANCA,-,-,1,1,-,1,1,-,-,-,-,-,2,6
270030 ARAPIRACA,-,12,118,162,145,108,74,29,9,2,-,-,280,939
270040 ATALAIA,-,2,2,2,1,2,-,1,-,-,-,-,1,11
270050 BARRA DE SANTO ANTONIO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
270070 BATALHA,-,-,3,3,6,4,5,4,-,-,-,-,3,28
270090 BELO MONTE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
270100 BOCA DA MATA,-,-,2,-,-,1,-,-,-,-,-,-,-,3
270110 BRANQUINHA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
270130 CAJUEIRO,-,-,2,-,1,2,-,-,1,-,-,-,-,6
270140 CAMPO ALEGRE,-,-,1,1,1,1,-,-,-,-,-,-,3,7
270160 CANAPI,-,-,-,-,-,-,1,-,-,-,-,-,1,2
270170 CAPELA,-,1,1,-,3,1,3,-,-,-,-,-,2,11
270210 COLONIA LEOPOLDINA,-,-,1,1,1,-,1,-,-,-,-,-,1,5
270220 COQUEIRO SECO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
270230 CORURIPE,-,1,12,14,13,12,7,4,-,-,-,-,10,73
270235 CRAIBAS,-,1,-,-,1,3,-,1,-,-,-,-,4,10
270240 DELMIRO GOUVEIA,-,1,3,4,4,3,2,1,-,-,-,-,5,23
270250 DOIS RIACHOS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
270255 ESTRELA DE ALAGOAS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
270260 FEIRA GRANDE,-,-,-,-,1,-,-,-,-,-,-,-,1,2
270280 FLEXEIRAS,-,1,-,-,-,-,-,1,-,-,-,-,-,2
270290 GIRAU DO PONCIANO,-,1,3,3,1,-,1,-,-,-,-,-,-,9
270300 IBATEGUARA,-,-,-,1,-,-,-,-,-,-,-,-,1,2
270310 IGACI,-,-,-,-,-,-,-,-,-,-,-,-,1,1
270320 IGREJA NOVA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
270330 INHAPI,-,-,2,1,-,1,-,-,-,-,-,-,1,5
270340 JACARE DOS HOMENS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
270360 JAPARATINGA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
270370 JARAMATAIA,-,-,-,-,1,-,1,-,-,-,-,-,1,3
270380 JOAQUIM GOMES,-,-,1,1,1,3,1,1,-,-,-,-,-,8
270390 JUNDIA,-,1,-,-,-,-,-,-,-,-,-,-,-,1
270400 JUNQUEIRO,-,-,1,-,4,-,-,-,-,-,-,-,-,5
270410 LAGOA DA CANOA,-,-,-,1,-,-,-,1,-,-,-,-,-,2
270420 LIMOEIRO DE ANADIA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
270430 MACEIO,-,55,498,550,489,385,290,101,7,-,-,1,208,2.584
270440 MAJOR ISIDORO,-,-,-,2,-,-,1,-,-,-,-,-,1,4
270450 MARAGOGI,-,-,5,6,6,3,-,1,-,-,-,-,7,28
