Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
210510 ICATU,1,1,-,2,4,3,1,1,13
210515 IGARAPE DO MEIO,-,-,-,-,-,-,1,4,5
210520 IGARAPE GRANDE,-,1,-,1,1,-,-,2,5
210530 IMPERATRIZ,4,309,224,372,152,166,45,43,1.315
210535 ITAIPAVA DO GRAJAU,-,1,1,3,3,1,2,2,13
210540 ITAPECURU MIRIM,1,38,38,76,29,38,20,23,263
210542 ITINGA DO MARANHAO,-,3,3,5,1,8,-,2,22
210547 JENIPAPO DOS VIEIRAS,1,2,-,7,2,5,-,6,23
210550 JOAO LISBOA,-,2,-,1,-,1,-,2,6
210560 JOSELANDIA,-,2,-,1,-,1,1,-,5
210570 LAGO DA PEDRA,4,27,10,18,12,28,6,-,105
210580 LAGO DO JUNCO,1,-,-,2,2,3,1,2,11
210590 LAGO VERDE,-,-,1,-,-,-,-,1,2
210592 LAGOA DO MATO,-,-,1,-,-,-,-,-,1
210594 LAGO DOS RODRIGUES,-,-,1,1,-,3,-,1,6
210596 LAGOA GRANDE DO MARANHAO,2,1,1,-,1,3,3,1,12
210600 LIMA CAMPOS,-,-,2,1,-,2,1,1,7
210610 LORETO,-,2,1,2,2,6,1,2,16
210620 LUIS DOMINGUES,-,-,1,-,-,-,1,2,4
210630 MAGALHAES DE ALMEIDA,1,-,3,4,3,-,2,2,15
210632 MARACACUME,-,-,-,-,-,1,1,-,2
210635 MARAJA DO SENA,-,-,-,-,-,2,-,1,3
210637 MARANHAOZINHO,-,-,-,-,-,-,1,-,1
210640 MATA ROMA,-,1,-,1,1,4,-,1,8
210650 MATINHA,2,3,3,5,4,10,2,1,30
210660 MATOES,-,4,-,4,2,4,-,2,16
210667 MILAGRES DO MARANHAO,-,-,-,-,-,-,1,-,1
210670 MIRADOR,-,2,-,1,-,2,-,-,5
210675 MIRANDA DO NORTE,-,-,-,4,1,2,-,2,9
210680 MIRINZAL,-,1,1,3,3,2,2,6,18
210690 MONCAO,-,7,6,25,5,14,2,10,69
210700 MONTES ALTOS,-,1,-,1,-,-,-,-,2
210710 MORROS,-,2,5,10,7,10,6,2,42
210720 NINA RODRIGUES,-,2,-,1,2,2,-,-,7
210725 NOVA COLINAS,-,1,-,1,-,-,-,2,4
210735 NOVA OLINDA DO MARANHAO,-,1,1,2,1,4,3,1,13
210740 OLHO D'AGUA DAS CUNHAS,-,1,1,3,-,3,1,2,11
210745 OLINDA NOVA DO MARANHAO,1,2,1,-,3,3,2,7,19
210750 PACO DO LUMIAR,-,1,1,-,-,-,-,-,2
210760 PALMEIRANDIA,-,-,-,-,1,2,-,3,6
210770 PARAIBANO,-,1,3,2,1,2,1,1,11
210780 PARNARAMA,-,1,3,2,1,2,-,4,13
210790 PASSAGEM FRANCA,-,1,3,4,3,9,2,6,28
210800 PASTOS BONS,-,3,1,4,2,7,1,4,22
210805 PAULINO NEVES,-,1,1,4,6,9,4,7,32
210810 PAULO RAMOS,1,2,2,6,3,5,2,9,30
210820 PEDREIRAS,1,21,9,18,9,20,5,6,89
210825 PEDRO DO ROSARIO,-,-,1,2,-,3,-,-,6
210830 PENALVA,-,6,16,25,17,23,5,17,109
210840 PERI MIRIM,-,1,1,-,1,-,-,1,4
210845 PERITORO,-,3,-,-,-,1,-,1,5
210850 PINDARE-MIRIM,-,5,-,3,2,4,-,9,23
210860 PINHEIRO,2,69,66,156,61,86,27,4,471
210870 PIO XII,1,9,3,3,4,6,5,1,32
210880 PIRAPEMAS,1,6,1,7,2,10,1,-,28
210890 POCAO DE PEDRAS,-,-,-,2,-,1,-,2,5
210900 PORTO FRANCO,2,6,3,8,9,10,1,2,41
210910 PRESIDENTE DUTRA,2,16,5,28,15,25,4,9,104
210920 PRESIDENTE JUSCELINO,-,-,-,-,3,-,1,3,7
210923 PRESIDENTE MEDICI,-,-,-,-,1,-,-,-,1
210927 PRESIDENTE SARNEY,-,-,-,2,-,-,-,-,2
210930 PRESIDENTE VARGAS,-,1,-,-,-,3,-,1,5
210940 PRIMEIRA CRUZ,-,-,-,1,1,2,-,1,5
210945 RAPOSA,-,1,-,-,-,2,-,-,3
210950 RIACHAO,1,3,1,4,1,4,3,2,19
210960 ROSARIO,1,10,1,3,3,6,-,6,30
210970 SAMBAIBA,-,-,-,-,-,-,-,1,1
210980 SANTA HELENA,-,1,3,10,8,13,3,5,43
210990 SANTA INES,4,61,57,108,53,71,31,4,389
211000 SANTA LUZIA,4,9,11,22,15,30,5,23,119
211003 SANTA LUZIA DO PARUA,-,1,-,2,-,-,-,-,3
211010 SANTA QUITERIA DO MARANHAO,1,1,1,7,1,10,1,4,26
211020 SANTA RITA,-,5,7,18,7,18,1,6,62
211023 SANTANA DO MARANHAO,-,-,-,1,-,1,-,1,3
211027 SANTO AMARO DO MARANHAO,-,-,-,-,-,-,-,1,1
211030 SANTO ANTONIO DOS LOPES,-,1,1,-,-,1,2,3,8
211040 SAO BENEDITO DO RIO PRETO,1,4,4,6,9,13,5,4,46
211050 SAO BENTO,-,3,1,4,6,5,3,8,30
211060 SAO BERNARDO,-,5,4,5,4,11,4,3,36
211065 SAO DOMINGOS DO AZEITAO,-,-,-,1,1,-,-,-,2
211070 SAO DOMINGOS DO MARANHAO,3,3,1,8,4,16,-,3,38
211080 SAO FELIX DE BALSAS,-,-,-,-,-,1,-,1,2
211090 SAO FRANCISCO DO MARANHAO,-,-,1,1,-,-,-,-,2
211100 SAO JOAO BATISTA,2,2,2,5,3,7,1,1,23
211102 SAO JOAO DO CARU,1,1,-,3,5,3,1,4,18
211107 SAO JOAO DO SOTER,-,-,-,-,-,-,1,1,2
211110 SAO JOAO DOS PATOS,2,5,-,4,6,8,1,1,27
211120 SAO JOSE DE RIBAMAR,1,16,20,32,18,24,5,6,122
211125 SAO JOSE DOS BASILIOS,-,-,-,1,-,-,-,-,1
211130 SAO LUIS,79,726,523,864,343,391,109,152,3.187
211140 SAO LUIS GONZAGA DO MARANHAO,-,1,-,4,-,2,-,-,7
211150 SAO MATEUS DO MARANHAO,1,1,-,1,2,-,-,-,5
211153 SAO PEDRO DA AGUA BRANCA,-,2,-,1,-,2,-,2,7
211157 SAO PEDRO DOS CRENTES,-,1,-,3,1,4,-,1,10
211160 SAO RAIMUNDO DAS MANGABEIRAS,-,-,-,1,1,7,-,2,11
211167 SAO ROBERTO,-,-,-,-,-,-,-,1,1
211170 SAO VICENTE FERRER,-,-,1,4,2,5,2,2,16
211172 SATUBINHA,-,-,-,-,-,1,-,-,1
211174 SENADOR ALEXANDRE COSTA,1,1,-,5,-,3,-,1,11
211178 SERRANO DO MARANHAO,-,-,-,1,-,-,-,-,1
211180 SITIO NOVO,-,1,2,-,1,3,-,-,7
211190 SUCUPIRA DO NORTE,-,-,-,-,1,1,-,1,3
211195 SUCUPIRA DO RIACHAO,-,-,-,-,-,1,-,1,2
211200 TASSO FRAGOSO,-,1,1,1,1,-,1,-,5
211210 TIMBIRAS,2,15,4,19,10,9,-,21,80
211220 TIMON,32,66,41,78,30,45,10,18,320
211223 TRIZIDELA DO VALE,1,1,-,1,-,2,-,-,5
211227 TUFILANDIA,-,-,-,1,-,-,-,-,1
211230 TUNTUM,1,5,1,12,6,10,2,6,43
211240 TURIACU,-,3,-,10,2,11,-,-,26
211245 TURILANDIA,-,-,-,-,1,-,-,-,1
211250 TUTOIA,1,4,8,16,8,13,3,10,63
211260 URBANO SANTOS,-,2,-,2,6,5,-,13,28
211270 VARGEM GRANDE,3,14,7,16,17,29,1,3,90
211280 VIANA,3,14,17,34,21,28,10,29,156
211285 VILA NOVA DOS MARTIRIOS,-,-,-,-,-,-,-,2,2
211290 VITORIA DO MEARIM,1,4,7,12,6,15,5,1,51
211300 VITORINO FREIRE,2,4,2,6,5,8,3,4,34
211400 ZE DOCA,3,8,9,30,16,31,5,19,121
220005 ACAUA,-,1,-,-,-,-,-,-,1
220020 AGUA BRANCA,-,1,-,6,2,5,-,2,16
220027 ALEGRETE DO PIAUI,-,-,-,-,-,-,-,1,1
220030 ALTO LONGA,-,1,-,-,-,-,-,-,1
220040 ALTOS,-,1,1,2,-,1,1,1,7
220045 ALVORADA DO GURGUEIA,-,-,-,1,-,1,-,-,2
220050 AMARANTE,1,2,3,3,1,2,1,3,16
220060 ANGICAL DO PIAUI,-,-,-,-,-,-,-,2,2
220070 ANISIO DE ABREU,1,-,1,1,-,-,-,2,5
220105 ASSUNCAO DO PIAUI,-,-,1,-,-,-,-,1,2
220110 AVELINO LOPES,-,-,-,2,1,2,-,-,5
220115 BAIXA GRANDE DO RIBEIRO,-,-,4,1,2,7,2,3,19
220120 BARRAS,-,1,1,6,6,14,1,9,38
220140 BARRO DURO,-,-,-,1,-,-,-,1,2
220150 BATALHA,-,1,2,2,1,1,-,1,8
220160 BENEDITINOS,1,-,-,-,-,-,1,-,2
220170 BERTOLINIA,-,-,1,-,-,-,-,-,1
220173 BETANIA DO PIAUI,-,-,-,-,-,1,-,-,1
220180 BOCAINA,-,-,-,-,-,-,-,1,1
220190 BOM JESUS,4,27,22,29,17,11,2,15,127
220192 BONFIM DO PIAUI,-,-,-,-,-,-,-,1,1
220196 BRASILEIRA,-,-,-,1,-,-,-,-,1
220198 BREJO DO PIAUI,-,1,-,-,-,-,-,-,1
220200 BURITI DOS LOPES,-,-,2,-,-,1,-,-,3
220220 CAMPO MAIOR,2,7,5,15,5,21,1,3,59
220230 CANTO DO BURITI,-,1,1,4,1,6,-,3,16
220250 CARACOL,-,1,1,2,-,1,-,1,6
220255 CARIDADE DO PIAUI,1,1,-,-,-,-,-,-,2
220260 CASTELO DO PIAUI,-,-,2,3,1,4,-,1,11
220270 COCAL,1,-,2,2,-,-,-,2,7
220272 COCAL DOS ALVES,-,-,-,-,1,-,-,-,1
220275 COLONIA DO GURGUEIA,-,1,-,-,-,-,-,1,2
220277 COLONIA DO PIAUI,-,1,-,-,-,-,-,-,1
220285 CORONEL JOSE DIAS,1,1,2,-,-,-,-,-,4
220290 CORRENTE,3,18,11,31,9,26,6,3,107
220300 CRISTALANDIA DO PIAUI,-,-,-,1,-,1,-,-,2
220310 CRISTINO CASTRO,-,-,1,-,-,-,-,-,1
220320 CURIMATA,1,1,4,4,7,3,-,3,23
220327 CURRAL NOVO DO PIAUI,-,2,-,-,-,-,-,-,2
220330 DEMERVAL LOBAO,2,2,1,-,2,-,-,1,8
220335 DIRCEU ARCOVERDE,-,-,-,1,-,-,-,-,1
220345 DOM INOCENCIO,-,-,-,1,-,-,-,-,1
220350 ELESBAO VELOSO,-,2,-,1,-,-,-,3,6
220360 ELISEU MARTINS,-,1,-,-,-,-,-,-,1
220370 ESPERANTINA,8,7,9,30,16,17,7,1,95
220380 FLORES DO PIAUI,-,-,-,-,-,-,-,1,1
220390 FLORIANO,16,76,58,113,57,61,21,25,427
220430 FRONTEIRAS,-,-,-,2,1,-,-,1,4
220440 GILBUES,-,1,1,-,2,2,-,3,9
220450 GUADALUPE,-,-,1,-,-,1,-,-,2
220465 ILHA GRANDE,-,1,-,-,-,-,-,-,1
220470 INHUMA,-,-,-,-,-,-,-,2,2
220480 IPIRANGA DO PIAUI,-,-,-,-,1,-,-,-,1
220500 ITAINOPOLIS,-,-,-,2,-,-,-,-,2
220510 ITAUEIRA,3,-,-,1,1,6,-,1,12
220520 JAICOS,1,-,-,-,1,1,-,2,5
220530 JERUMENHA,-,-,-,1,-,-,-,-,1
220540 JOAQUIM PIRES,1,-,-,1,-,-,-,2,4
220550 JOSE DE FREITAS,-,1,1,2,-,1,3,1,9
220552 JULIO BORGES,-,-,-,1,-,-,-,-,1
220553 JUREMA,-,-,-,-,-,1,-,-,1
220555 LAGOA ALEGRE,-,-,-,-,-,-,-,1,1
220556 LAGOA DO BARRO DO PIAUI,-,-,1,1,-,-,-,-,2
220560 LANDRI SALES,-,-,-,-,-,1,-,-,1
220570 LUIS CORREIA,-,-,1,-,-,-,-,1,2
220580 LUZILANDIA,1,2,1,7,2,7,1,5,26
220585 MADEIRO,-,1,-,-,-,-,-,-,1
220590 MANOEL EMIDIO,-,-,1,1,-,1,-,2,5
220595 MARCOLANDIA,-,-,-,-,-,-,-,1,1
220600 MARCOS PARENTE,-,-,-,-,-,1,-,-,1
220610 MATIAS OLIMPIO,-,-,-,1,-,-,-,-,1
220620 MIGUEL ALVES,-,1,1,2,2,4,1,4,15
220630 MIGUEL LEAO,-,-,-,-,-,1,-,-,1
220660 MONTE ALEGRE DO PIAUI,-,2,-,-,-,3,-,1,6
220669 MURICI DOS PORTELAS,-,-,-,-,-,-,-,1,1
220672 NAZARIA,-,-,-,-,-,-,-,1,1
220680 NOSSA SENHORA DOS REMEDIOS,-,1,-,-,-,-,1,-,2
220690 NOVO ORIENTE DO PIAUI,-,-,-,-,-,-,-,1,1
220700 OEIRAS,8,23,15,35,22,18,6,4,131
220720 PADRE MARCOS,-,-,1,-,-,-,-,-,1
220730 PAES LANDIM,-,-,-,1,-,-,-,-,1
220735 PAJEU DO PIAUI,-,-,-,-,1,-,-,-,1
220750 PALMEIRAIS,-,1,-,3,-,5,-,1,10
220760 PARNAGUA,1,-,-,-,-,-,-,1,2
220770 PARNAIBA,17,141,99,205,104,132,49,41,788
220780 PAULISTANA,1,8,3,1,6,7,2,9,37
220790 PEDRO II,1,7,1,7,5,5,1,8,35
220800 PICOS,17,73,46,87,43,55,8,11,340
220810 PIMENTEIRAS,-,-,-,-,-,-,-,1,1
220820 PIO IX,1,2,1,1,-,-,-,-,5
220830 PIRACURUCA,-,8,4,14,7,4,1,1,39
220840 PIRIPIRI,7,30,29,35,21,33,6,15,176
220850 PORTO,-,-,1,1,1,1,-,-,4
220860 PRATA DO PIAUI,-,-,-,-,-,-,-,2,2
220865 QUEIMADA NOVA,-,-,1,-,-,-,-,-,1
220870 REDENCAO DO GURGUEIA,-,1,-,2,-,-,-,1,4
220880 REGENERACAO,-,-,-,8,1,5,3,1,18
220887 RIBEIRA DO PIAUI,-,1,-,-,-,-,-,1,2
220890 RIBEIRO GONCALVES,-,-,-,2,1,-,-,2,5
220900 RIO GRANDE DO PIAUI,-,1,-,1,-,-,-,1,3
220910 SANTA CRUZ DO PIAUI,-,-,-,-,-,-,-,2,2
220920 SANTA FILOMENA,-,-,-,1,-,1,-,-,2
220930 SANTA LUZ,-,1,-,-,-,-,-,-,1
220965 SAO FRANCISCO DE ASSIS DO PIAUI,-,-,-,1,1,-,-,-,2
220970 SAO FRANCISCO DO PIAUI,-,-,-,-,1,-,-,-,1
220975 SAO GONCALO DO GURGUEIA,-,-,1,-,-,1,-,1,3
220980 SAO GONCALO DO PIAUI,-,1,-,-,-,-,-,-,1
220997 SAO JOAO DO ARRAIAL,-,1,-,-,1,-,1,1,4
221000 SAO JOAO DO PIAUI,1,15,6,15,6,12,-,6,61
221020 SAO JOSE DO PIAUI,-,-,-,-,1,-,-,-,1
221040 SAO MIGUEL DO TAPUIO,1,2,-,-,2,2,-,2,9
221050 SAO PEDRO DO PIAUI,-,2,-,2,-,2,-,2,8
221060 SAO RAIMUNDO NONATO,9,45,22,38,9,18,5,9,155
221070 SIMOES,2,6,2,4,2,8,-,2,26
221080 SIMPLICIO MENDES,1,4,-,-,3,2,-,5,15
221095 TAMBORIL DO PIAUI,-,-,-,1,-,-,-,-,1
221100 TERESINA,53,646,448,776,304,347,84,154,2.812
221110 UNIAO,1,4,2,4,5,6,-,1,23
221120 URUCUI,3,6,5,11,4,9,3,6,47
221130 VALENCA DO PIAUI,2,7,4,12,5,6,2,7,45
221135 VARZEA BRANCA,-,-,1,1,-,-,-,-,2
221150 VERA MENDES,-,1,-,-,-,-,-,-,1
MUNICIPIO IGNORADO - CE,-,1,-,-,-,-,-,-,1
230010 ABAIARA,-,-,1,1,-,-,-,-,2
230015 ACARAPE,-,-,-,-,-,-,-,1,1
230020 ACARAU,18,27,19,34,27,54,14,4,197
230030 ACOPIARA,1,20,11,10,6,7,1,-,56
230040 AIUABA,1,-,-,2,-,-,-,1,4
230060 ALTANEIRA,1,-,-,-,-,-,-,-,1
230070 ALTO SANTO,-,1,2,-,-,-,1,-,4
230075 AMONTADA,-,1,4,-,1,-,-,-,6
230080 ANTONINA DO NORTE,-,-,-,-,-,-,1,-,1
230090 APUIARES,3,-,1,-,-,-,-,-,4
230100 AQUIRAZ,2,2,5,2,-,-,-,2,13
230110 ARACATI,6,30,23,34,13,20,8,11,145
230120 ARACOIABA,-,1,-,-,2,2,-,2,7
230125 ARARENDA,1,-,1,-,-,-,-,-,2
230130 ARARIPE,-,5,3,-,1,2,-,-,11
230140 ARATUBA,-,1,2,1,-,-,-,-,4
230150 ARNEIROZ,-,1,-,1,-,-,-,-,2
230160 ASSARE,1,3,-,1,-,-,1,-,6
230170 AURORA,-,1,1,1,2,2,1,2,10
230185 BANABUIU,-,-,2,3,1,-,-,-,6
230190 BARBALHA,21,98,61,88,33,22,3,18,344
230195 BARREIRA,-,1,-,-,-,-,-,2,3
230200 BARRO,1,1,-,-,-,1,-,-,3
230205 BARROQUINHA,-,1,-,2,1,-,-,1,5
230210 BATURITE,22,33,14,32,13,21,4,15,154
230220 BEBERIBE,1,4,2,1,-,2,-,1,11
230230 BELA CRUZ,-,4,-,1,-,1,-,1,7
230240 BOA VIAGEM,-,6,4,1,5,4,-,2,22
230250 BREJO SANTO,20,47,42,80,35,39,9,3,275
230260 CAMOCIM,6,22,30,27,16,41,17,9,168
230270 CAMPOS SALES,-,5,2,4,3,1,-,-,15
230280 CANINDE,2,42,20,63,17,32,6,5,187
230290 CAPISTRANO,-,1,-,-,-,1,-,-,2
230300 CARIDADE,-,-,1,2,-,-,-,-,3
230310 CARIRE,-,-,-,-,3,-,-,-,3
230320 CARIRIACU,-,1,-,-,-,-,1,-,2
230330 CARIUS,-,-,1,3,1,-,-,-,5
230340 CARNAUBAL,-,1,1,-,-,2,-,4,8
230350 CASCAVEL,2,12,8,15,4,8,8,6,63
230360 CATARINA,-,2,3,1,-,1,-,-,7
230365 CATUNDA,-,5,-,-,-,-,1,-,6
230370 CAUCAIA,4,58,31,51,22,27,6,1,200
230380 CEDRO,1,6,2,7,3,3,-,1,23
230390 CHAVAL,-,-,-,1,2,1,-,-,4
230393 CHORO,-,-,1,-,1,1,1,-,4
230395 CHOROZINHO,-,1,1,1,-,-,-,3,6
230410 CRATEUS,12,54,44,67,42,44,14,4,281
230420 CRATO,63,94,79,101,45,38,13,19,452
230423 CROATA,-,-,2,1,-,1,-,1,5
230425 CRUZ,1,1,-,2,1,1,-,1,7
230426 DEPUTADO IRAPUAN PINHEIRO,-,1,-,-,-,-,1,-,2
230428 EUSEBIO,3,18,12,11,7,18,3,11,83
230430 FARIAS BRITO,1,-,-,-,1,-,-,-,2
230435 FORQUILHA,-,-,-,-,-,1,-,1,2
230440 FORTALEZA,504,1.194,764,1.217,472,481,116,312,5.060
230445 FORTIM,-,-,-,-,-,-,-,1,1
230450 FRECHEIRINHA,-,1,-,-,-,-,-,1,2
230460 GENERAL SAMPAIO,-,-,-,1,-,-,-,1,2
230470 GRANJA,2,5,4,3,3,6,-,1,24
230495 GUAIUBA,-,-,2,-,-,-,-,1,3
230500 GUARACIABA DO NORTE,1,6,3,4,3,3,-,2,22
230510 GUARAMIRANGA,-,1,-,-,-,-,-,-,1
230520 HIDROLANDIA,-,-,1,1,-,-,-,1,3
230523 HORIZONTE,5,11,5,6,4,9,3,1,44
230526 IBARETAMA,-,2,-,1,-,-,-,1,4
230530 IBIAPINA,-,-,2,3,1,1,-,1,8
230533 IBICUITINGA,-,-,1,-,1,-,-,1,3
230535 ICAPUI,-,1,-,1,-,-,-,-,2
230540 ICO,2,34,23,37,10,21,6,1,134
230550 IGUATU,3,84,49,87,32,42,6,6,309
230560 INDEPENDENCIA,-,2,-,-,-,2,-,-,4
230565 IPAPORANGA,-,-,-,-,1,-,-,-,1
230570 IPAUMIRIM,-,1,1,-,-,-,1,-,3
230580 IPU,3,8,7,8,5,9,-,2,42
230590 IPUEIRAS,3,1,1,3,3,3,-,4,18
230610 IRAUCUBA,-,2,3,2,1,1,-,2,11
230625 ITAITINGA,1,4,2,-,1,1,-,-,9
230630 ITAPAGE,1,4,4,10,6,7,1,4,37
230640 ITAPIPOCA,6,94,62,99,51,67,20,38,437
230650 ITAPIUNA,-,1,-,1,-,1,-,-,3
230655 ITAREMA,1,4,2,1,2,3,-,-,13
230660 ITATIRA,1,2,-,-,1,1,-,2,7
230670 JAGUARETAMA,-,1,-,1,1,-,-,-,3
230680 JAGUARIBARA,-,-,-,-,-,-,-,1,1
230690 JAGUARIBE,1,13,2,9,3,5,2,3,38
230700 JAGUARUANA,-,1,1,2,-,2,-,-,6
230710 JARDIM,1,-,-,1,-,-,-,2,4
230725 JIJOCA DE JERICOACOARA,-,1,-,-,2,3,1,-,7
230730 JUAZEIRO DO NORTE,13,97,75,103,40,27,5,29,389
230740 JUCAS,-,3,1,3,-,4,-,2,13
230750 LAVRAS DA MANGABEIRA,10,10,3,1,4,4,-,-,32
230760 LIMOEIRO DO NORTE,8,45,28,46,21,16,2,9,175
230763 MADALENA,2,2,1,3,2,1,-,-,11
230765 MARACANAU,7,74,49,101,61,58,17,41,408
230770 MARANGUAPE,1,11,5,12,2,3,-,2,36
230780 MARCO,-,2,2,-,-,2,-,2,8
230790 MARTINOPOLE,-,1,-,-,-,1,-,-,2
230800 MASSAPE,-,1,-,-,-,-,-,-,1
230810 MAURITI,2,5,6,5,1,1,1,3,24
230820 MERUOCA,1,1,1,-,-,-,-,-,3
230830 MILAGRES,1,1,2,1,-,1,-,1,7
230835 MILHA,-,-,-,1,-,-,-,1,2
230837 MIRAIMA,-,-,-,1,-,-,-,-,1
230840 MISSAO VELHA,-,-,-,3,1,-,-,-,4
230850 MOMBACA,-,2,2,4,1,2,1,1,13
230860 MONSENHOR TABOSA,-,2,1,-,-,-,1,2,6
230870 MORADA NOVA,1,14,10,19,11,11,-,2,68
230890 MORRINHOS,-,-,-,1,1,1,-,1,4
230900 MUCAMBO,-,-,1,1,-,1,-,1,4
230910 MULUNGU,-,1,-,2,-,-,-,-,3
230920 NOVA OLINDA,1,-,1,-,-,1,-,-,3
230930 NOVA RUSSAS,-,1,-,1,-,2,-,3,7
230940 NOVO ORIENTE,-,1,2,1,-,-,1,-,5
230945 OCARA,-,3,1,-,-,-,-,2,6
230950 OROS,4,2,2,2,1,3,-,1,15
230960 PACAJUS,1,2,3,5,1,1,-,2,15
230970 PACATUBA,2,4,-,1,-,2,-,3,12
230980 PACOTI,-,-,1,-,2,-,-,1,4
231000 PALHANO,-,1,-,-,-,-,-,-,1
231020 PARACURU,1,4,1,2,1,5,-,4,18
231025 PARAIPABA,-,1,1,1,3,1,-,1,8
231030 PARAMBU,-,7,1,7,3,5,2,1,26
231050 PEDRA BRANCA,1,10,3,5,6,3,-,5,33
231060 PENAFORTE,-,1,-,1,1,-,-,-,3
231070 PENTECOSTE,2,2,2,1,4,3,-,1,15
231080 PEREIRO,-,-,2,2,-,1,-,-,5
231085 PINDORETAMA,3,1,1,1,-,1,-,2,9
231090 PIQUET CARNEIRO,-,1,-,2,-,-,-,-,3
231100 PORANGA,1,5,1,-,1,1,-,-,9
231120 POTENGI,-,1,1,-,1,-,-,1,4
231123 POTIRETAMA,-,1,-,-,-,-,-,-,1
231126 QUITERIANOPOLIS,-,-,1,1,-,-,-,-,2
231130 QUIXADA,1,46,46,59,36,46,9,7,250
231135 QUIXELO,-,-,-,-,-,1,-,-,1
231140 QUIXERAMOBIM,4,31,17,31,15,18,7,5,128
231150 QUIXERE,-,-,1,-,-,-,-,1,2
231160 REDENCAO,-,9,2,3,7,3,-,2,26
231170 RERIUTABA,-,-,-,1,2,2,-,-,5
231180 RUSSAS,17,21,11,21,9,16,2,5,102
231190 SABOEIRO,-,1,-,1,-,-,-,-,2
231195 SALITRE,-,3,-,1,-,-,-,1,5
231200 SANTANA DO ACARAU,-,-,2,-,1,-,2,1,6
231210 SANTANA DO CARIRI,-,-,-,2,-,3,-,-,5
231220 SANTA QUITERIA,-,1,3,-,-,4,1,1,10
231230 SAO BENEDITO,-,11,3,5,2,7,3,2,33
231240 SAO GONCALO DO AMARANTE,-,2,2,4,3,5,1,4,21
231260 SAO LUIS DO CURU,1,-,1,1,-,-,-,-,3
231270 SENADOR POMPEU,-,2,-,1,1,1,-,3,8
231280 SENADOR SA,-,-,-,1,-,-,-,-,1
231290 SOBRAL,60,291,196,314,125,143,33,49,1.211
231300 SOLONOPOLE,1,1,1,1,-,1,1,1,7
231310 TABULEIRO DO NORTE,-,2,2,1,-,1,-,2,8
231320 TAMBORIL,1,1,3,2,1,2,-,1,11
231325 TARRAFAS,-,-,-,1,-,-,-,-,1
231330 TAUA,6,28,25,32,13,21,7,3,135
231335 TEJUCUOCA,2,2,-,2,1,-,-,-,7
231340 TIANGUA,5,48,34,99,56,66,10,10,328
231350 TRAIRI,1,6,3,4,2,3,1,4,24
231355 TURURU,1,1,-,1,1,-,-,1,5
231360 UBAJARA,3,2,-,2,1,3,-,2,13
231370 UMARI,-,-,-,1,-,1,-,-,2
231375 UMIRIM,-,1,-,-,-,-,-,2,3
231380 URUBURETAMA,-,2,1,1,1,-,-,-,5
231390 URUOCA,-,-,-,-,1,-,-,-,1
231395 VARJOTA,-,-,2,-,-,1,-,1,4
231400 VARZEA ALEGRE,6,16,8,14,5,6,1,-,56
231410 VICOSA DO CEARA,2,24,6,13,5,11,1,-,62
240010 ACARI,1,-,-,1,1,1,1,2,7
240020 ACU,1,8,3,6,5,5,-,1,29
240030 AFONSO BEZERRA,1,-,-,1,-,1,-,-,3
240050 ALEXANDRIA,2,-,-,4,-,1,-,2,9
240060 ALMINO AFONSO,-,-,-,1,-,1,-,1,3
240070 ALTO DO RODRIGUES,-,-,-,-,-,-,-,1,1
240080 ANGICOS,-,1,-,1,1,-,-,2,5
240090 ANTONIO MARTINS,-,-,-,-,-,1,-,-,1
240100 APODI,-,2,1,-,-,-,-,1,4
240110 AREIA BRANCA,-,-,-,1,-,-,-,-,1
240120 ARES,-,-,-,-,-,-,1,-,1
240145 BARAUNA,-,-,-,-,-,-,-,2,2
240160 BENTO FERNANDES,-,1,-,-,-,-,-,-,1
240170 BOM JESUS,-,-,-,-,-,-,-,1,1
240180 BREJINHO,-,-,-,-,-,-,-,1,1
240200 CAICO,6,32,20,18,11,8,8,5,108
240220 CANGUARETAMA,-,2,-,3,1,-,-,2,8
240230 CARAUBAS,-,-,1,2,3,2,-,1,9
240250 CARNAUBAIS,-,-,1,-,-,-,-,1,2
240260 CEARA-MIRIM,2,11,3,12,1,3,1,6,39
240270 CERRO CORA,-,-,-,1,-,-,-,-,1
240300 CRUZETA,-,1,-,-,-,-,-,-,1
240310 CURRAIS NOVOS,8,23,12,10,12,10,2,23,100
240325 PARNAMIRIM,15,55,45,54,19,33,1,32,254
240340 EQUADOR,-,1,1,1,-,-,-,-,3
240360 EXTREMOZ,-,1,1,1,1,-,-,1,5
240380 FLORANIA,-,-,-,-,-,-,-,1,1
240400 FRUTUOSO GOMES,-,1,1,1,-,-,-,-,3
240420 GOIANINHA,-,4,2,1,-,-,-,2,9
240430 GOVERNADOR DIX-SEPT ROSADO,-,-,-,-,1,-,-,-,1
240450 GUAMARE,-,-,-,3,-,1,1,3,8
240460 IELMO MARINHO,-,-,-,-,-,1,-,-,1
240470 IPANGUACU,-,-,-,-,-,-,-,1,1
240530 JANUARIO CICCO,-,1,-,-,-,1,-,1,3
240540 JAPI,-,-,-,-,-,1,-,-,1
240560 JARDIM DE PIRANHAS,-,1,-,-,-,1,-,-,2
240570 JARDIM DO SERIDO,-,-,1,2,3,-,-,1,7
